tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
394,2014-09-29,2014,9,29,Monday,3,3,False,False,False,False
395,2014-09-30,2014,9,30,Tuesday,3,3,True,True,False,False
396,2014-10-01,2014,10,1,Wednesday,4,4,False,False,False,False
397,2014-10-02,2014,10,2,Thursday,4,4,False,False,False,False
398,2014-10-03,2014,10,3,Friday,4,4,False,False,False,False
399,2014-10-04,2014,10,4,Saturday,4,4,False,False,False,False
400,2014-10-05,2014,10,5,Sunday,4,4,False,False,False,False
401,2014-10-06,2014,10,6,Monday,4,4,False,False,False,False
402,2014-10-07,2014,10,7,Tuesday,4,4,False,False,False,False
403,2014-10-08,2014,10,8,Wednesday,4,4,False,False,False,False
404,2014-10-09,2014,10,9,Thursday,4,4,False,False,False,False
405,2014-10-10,2014,10,10,Friday,4,4,False,False,False,False
406,2014-10-11,2014,10,11,Saturday,4,4,False,False,False,False
